,CutFlow,
Generated ev,14500
        TRG, 14472
QualityCuts, 12545
       ECut, 5844
     F51Cut, 4891
 dEdXSigCut, 4373
Signal efficiency, 0.301586


,N1Cuts,Relative eff
     No TRG, 4373,1
 No Quality, 4950,0.883434
    No ECut, 6850,0.638394
  No F51Cut, 5041,0.867487
 No dEdXSig, 4891,0.894091

