,CutFlow,
Generated ev,14500
        TRG, 14429
QualityCuts, 11274
       ECut, 4049
     F51Cut, 3482
 dEdXSigCut, 3111
Signal efficiency, 0.214552


,N1Cuts,Relative eff
     No TRG, 3111,1
 No Quality, 3891,0.799537
    No ECut, 5267,0.590659
  No F51Cut, 3634,0.856081
 No dEdXSig, 3482,0.893452

