,CutFlow,
Generated ev,16889
        TRG, 16844
QualityCuts, 13988
       ECut, 5736
     F51Cut, 5089
 dEdXSigCut, 5028
Signal efficiency, 0.297709


,N1Cuts,Relative eff
     No TRG, 5028,1
 No Quality, 5660,0.888339
    No ECut, 8703,0.577732
  No F51Cut, 5624,0.894026
 No dEdXSig, 5089,0.988013

