,CutFlow,
Generated ev,16389
        TRG, 16345
QualityCuts, 13578
       ECut, 5579
     F51Cut, 4949
 dEdXSigCut, 4893
Signal efficiency, 0.298554


,N1Cuts,Relative eff
     No TRG, 4893,1
 No Quality, 5507,0.888506
    No ECut, 8455,0.578711
  No F51Cut, 5474,0.893862
 No dEdXSig, 4949,0.988685

