,CutFlow,
Generated ev,18000
        TRG, 1050
QualityCuts, 1030
       ECut, 951
     F51Cut, 699
 dEdXSigCut, 690
Signal efficiency, 0.0383333


,N1Cuts,Relative eff
     No TRG, 6485,0.106399
 No Quality, 729,0.946502
    No ECut, 791,0.872314
  No F51Cut, 934,0.738758
 No dEdXSig, 699,0.987124

