,CutFlow,
Generated ev,18000
        TRG, 17954
QualityCuts, 15327
       ECut, 7515
     F51Cut, 6593
 dEdXSigCut, 6485
Signal efficiency, 0.360278


,N1Cuts,Relative eff
     No TRG, 6485,1
 No Quality, 7010,0.925107
    No ECut, 9644,0.672439
  No F51Cut, 7320,0.885929
 No dEdXSig, 6593,0.983619

