,CutFlow,
Generated ev,17629
        TRG, 17584
QualityCuts, 15014
       ECut, 7319
     F51Cut, 6419
 dEdXSigCut, 6320
Signal efficiency, 0.3585


,N1Cuts,Relative eff
     No TRG, 6320,1
 No Quality, 6835,0.924653
    No ECut, 9430,0.670201
  No F51Cut, 7143,0.884782
 No dEdXSig, 6419,0.984577

