,CutFlow,
Generated ev,16389
        TRG, 751
QualityCuts, 737
       ECut, 663
     F51Cut, 469
 dEdXSigCut, 463
Signal efficiency, 0.0282507


,N1Cuts,Relative eff
     No TRG, 4893,0.094625
 No Quality, 503,0.920477
    No ECut, 579,0.799655
  No F51Cut, 653,0.709035
 No dEdXSig, 469,0.987207

