,CutFlow,
Generated ev,19249
        TRG, 1269
QualityCuts, 1235
       ECut, 1054
     F51Cut, 709
 dEdXSigCut, 697
Signal efficiency, 0.0362097


,N1Cuts,Relative eff
     No TRG, 6632,0.105097
 No Quality, 745,0.93557
    No ECut, 829,0.840772
  No F51Cut, 991,0.70333
 No dEdXSig, 709,0.983075

